artist7,music3985,283,Kpop,2012,1
artist5,music101941,207,Jazz,2015,2
artist3,music5641,193,Rock,2023,5
artist4,music34707,216,Jazz,2001,4
artist17,music128557,185,Folk,2018,2
artist5,music42616,267,Folk,2023,1
artist5,music76921,249,Hip Hop,2008,3
artist10,music32654,291,Jpop,2000,4
artist9,music97465,205,Kpop,2016,2
artist7,music25106,257,Funk,2005,1
artist8,music30844,252,Rock,2010,2
artist3,music43161,185,Alternative,2021,2
artist3,music31217,218,Eletronic,2017,2
artist11,music130379,284,Funk,2016,3
artist3,music113141,236,Country,2015,1
artist14,music103587,218,Kpop,2006,2
artist14,music90411,271,Country,2010,1
artist12,music119639,188,Classic,2023,1
artist17,music2991,232,Kpop,2019,2
artist12,music29715,274,Jazz,2016,1
artist3,music54501,269,Jazz,2000,1
artist5,music92577,215,Classic,2001,1
artist13,music101131,254,Reggae,2013,3
artist18,music59322,267,R&B,2008,2
artist14,music66717,222,Folk,2008,3
artist5,music66849,216,Classic,2004,3
artist7,music76551,234,Country,2017,3
artist7,music99039,234,Hip Hop,2015,1
artist11,music124061,219,Jazz,2020,5
artist3,music63607,279,Rock,2013,4
artist12,music40399,195,Kpop,1999,2
artist9,music120835,280,Reggae,1999,1
artist17,music26494,191,Folk,2021,2
artist12,music9085,203,Funk,2017,1
artist7,music59120,294,Reggae,2010,5
artist14,music22978,273,Jazz,1999,4
artist7,music107675,259,Blues,2016,1
artist8,music58352,297,Country,2020,5
artist3,music110983,269,R&B,2019,4
artist2,music123475,206,Rock,2009,1
artist12,music22259,251,Reggae,2001,4
artist8,music78633,257,Jpop,2002,5
artist16,music44707,255,R&B,2014,5
artist5,music44477,221,Country,2008,1
artist15,music136397,291,Rock,1999,4
artist8,music82831,191,Blues,2009,5
artist5,music115575,279,Pop,2019,4
artist9,music22339,182,Hip Hop,2013,4
artist4,music107103,224,R&B,2011,2
artist5,music66541,236,Reggae,2001,2
artist4,music127389,236,Hip Hop,2002,2
artist15,music51469,209,Folk,2018,3
artist14,music129349,294,Kpop,2010,4
artist13,music62961,273,Funk,2018,1
artist1,music125033,213,Blues,2015,2
artist11,music58049,192,Eletronic,2020,1
artist4,music43907,263,Reggae,2021,2
artist8,music8194,208,Alternative,2020,1
artist11,music9957,186,Jazz,2010,5
artist10,music38722,280,Pop,2020,5
artist6,music80855,254,Blues,2022,1
artist3,music62383,240,Country,2013,2
artist15,music29503,246,Hip Hop,2005,3
artist13,music23941,216,Rock,2006,2
artist2,music109551,183,Country,2018,4
artist5,music40184,250,Pop,2011,2
artist7,music39454,220,Alternative,2008,2
artist10,music11518,230,Pop,2010,5
artist11,music125475,237,R&B,2021,1
artist2,music27612,229,Blues,2010,4
artist5,music22165,192,Funk,2023,1
artist7,music40004,219,Pop,1999,3
artist15,music6237,223,Hip Hop,2020,4
artist15,music71745,259,Pop,1999,3
artist13,music25909,263,Alternative,2020,5
artist11,music51270,292,Jpop,2022,5
artist6,music130703,250,Folk,2011,1
artist11,music233,234,Eletronic,2001,2
artist12,music47993,298,Jpop,2023,4
artist8,music28457,261,Eletronic,2022,2
artist14,music7936,234,Jazz,2021,2
artist17,music64303,268,R&B,2003,1
artist15,music10988,286,Classic,2012,4
artist2,music112071,210,Blues,2017,4
artist4,music136941,220,Blues,2007,1
artist11,music75841,186,Alternative,2005,1
artist1,music62691,237,R&B,2019,2
artist10,music61203,215,Jazz,1999,3
artist17,music83633,212,Pop,2012,4
artist17,music57666,300,R&B,2009,3
artist15,music56901,239,Eletronic,2015,2
artist5,music111095,185,R&B,2002,2
