artist12,music830,283,Classic,1999,2
artist3,music209,258,Eletronic,2010,3
artist3,music74,203,Rock,2008,4
artist2,music70,231,Jpop,2009,1
artist17,music760,218,Rock,2019,2
artist15,music154,271,Hip Hop,2007,5
artist18,music68,258,Eletronic,2011,2
artist8,music433,188,Kpop,2015,2
artist5,music149,256,Alternative,2023,4
artist5,music459,198,Jazz,2011,5
artist6,music752,193,Classic,1999,2
artist6,music539,223,Blues,2010,4
artist14,music373,189,R&B,2013,3
artist2,music480,244,Blues,2019,4
artist3,music878,253,Kpop,2023,3
artist3,music431,235,Country,2013,5
artist3,music716,231,R&B,2017,2
artist3,music212,257,Classic,2020,4
artist11,music135,183,Country,2009,3
artist5,music107,288,Rock,2021,3
artist9,music296,276,Kpop,2000,4
artist12,music710,254,Reggae,2002,5
artist10,music686,210,Jazz,2015,5
artist17,music81,199,Funk,2004,3
artist11,music616,267,Jazz,2019,1
artist3,music331,223,Jpop,2005,1
artist1,music762,292,Eletronic,2005,1
artist8,music173,239,Blues,2000,5
artist17,music132,269,Jazz,2014,1
artist1,music1052,237,Kpop,2005,3
artist3,music642,274,Blues,2020,3
artist17,music288,248,Funk,1999,2
artist7,music367,219,Country,2015,3
artist6,music83,297,Classic,2015,5
artist16,music1130,219,Folk,2002,3
artist11,music79,222,Funk,2020,3
artist18,music1326,271,Alternative,2008,5
artist7,music870,289,Rock,1999,2
artist18,music862,184,Pop,2003,4
artist13,music692,299,Reggae,2003,3
artist17,music414,292,Hip Hop,2005,5
artist5,music432,292,Pop,2012,3
artist1,music1116,229,Rock,2019,3
artist17,music1168,206,Jazz,2005,3
artist15,music1298,251,Hip Hop,2011,2
artist13,music517,267,Blues,2003,4
artist2,music29,293,Alternative,2000,3
artist3,music1440,218,Country,2020,4
artist6,music332,236,Jazz,2017,3
artist17,music1216,293,Alternative,2004,4
artist18,music1040,198,Rock,2002,3
artist3,music5,181,Country,2008,5
artist1,music676,253,Country,2008,1
artist7,music1038,283,Alternative,2009,2
artist18,music317,197,Blues,2010,3
artist13,music7,216,Funk,2000,2
artist18,music294,271,Eletronic,2007,3
artist1,music1072,248,Classic,2005,4
artist14,music1328,194,Folk,2007,5
artist7,music746,222,Funk,2021,4
artist17,music1426,262,R&B,2009,4
artist7,music1300,263,Blues,2000,3
artist8,music133,250,Pop,2010,2
artist18,music92,290,Jpop,2006,1
artist16,music366,279,Folk,2003,4
artist17,music15,298,Blues,2014,5
artist7,music253,192,Eletronic,2007,1
artist5,music1374,241,Rock,2006,2
artist3,music1296,224,Reggae,2018,1
artist10,music586,233,R&B,2015,1
artist17,music832,276,Kpop,2000,3
artist9,music910,298,Folk,2015,5
artist1,music1272,180,Classic,2022,3
artist7,music228,246,Country,2011,2
artist16,music602,205,Reggae,2003,4
artist1,music1002,239,Reggae,2017,5
artist5,music718,197,Kpop,2021,2
artist9,music728,255,R&B,2019,3
artist2,music1164,290,Country,2020,2
artist10,music76,299,Pop,2003,4
artist14,music236,203,Country,2007,2
artist14,music970,279,Reggae,2001,2
artist7,music153,239,Rock,2002,5
artist8,music1434,262,Folk,2016,4
